org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
FQ7IoQEgEADgEzmmCgsFAsznrtQ=,,,种猪场,2023-04-15,2023-05-05,高繁感染,A阳（单缺）
e03d3f1b-010a-1000-e004-192cc0a802deCCE7AED4,,,种猪场,2023-07-10,2023-08-01,高繁感染,ABE型
ni898gXLTwaP5w1M8EhEnMznrtQ=,,,种猪场,2023-12-03,2023-12-24,高繁感染,"ABE型,B阳"
bDoAAADXGsPM567U,,,种猪场,2024-04-08,2024-06-25,高繁感染,A阳（双缺）
VVMTzQESEADgBAvlfwAAAcznrtQ=,,,种猪场,2023-02-13,2023-03-06,高繁感染,B阳
bDoAAC7m/57M567U,,,种猪场,2023-08-30,2023-09-20,高繁感染,B阳
bDoAAC7m/lfM567U,,,种猪场,2023-09-16,2023-10-06,高繁感染,B阳
JDl68wEXEADgCHeECgsCAsznrtQ=,,,种猪场,2023-12-02,2023-12-30,高繁感染,ABE型
bDoAAClE3XPM567U,,,种猪场,2023-12-10,2024-01-06,高繁感染,ABE型
f7QAMgEOEADgAg0vwKgC3sznrtQ=,,,种猪场,2022-06-01,2022-06-21,高繁感染,B阳
bDoAABaKSkzM567U,,,种猪场,2023-11-03,2023-12-15,高繁感染,B阳
ZKNd3AEPEADgAgjwwKgC3sznrtQ=,,,种猪场,2023-11-10,2024-01-28,高繁感染,A阳（单缺）
bDoAACYz8lPM567U,,,种猪场,2022-03-21,2022-04-10,高繁感染,B阳
bDoAACvL6XzM567U,,,种猪场,2022-11-25,2022-12-10,高繁感染,B阳
bDoAAEz4d27M567U,,,种猪场,2023-01-15,2023-02-25,高繁感染,"A阳（双缺）,B阳"
bDoAALYiuxTM567U,,,种猪场,2023-05-01,2023-05-14,高繁感染,B阳
bDoAABp4TUHM567U,,,种猪场,2023-08-12,2023-09-01,高繁感染,ABE型
bDoAADwkTmXM567U,,,种猪场,2022-03-16,2022-04-12,高繁感染,阴
bDoAAJ7DeuDM567U,,,种猪场,2022-03-30,2022-04-20,高繁感染,A阳（双缺）
WYAoW9mNSD+xXQtoaA4VsMznrtQ=,,,种猪场,2023-03-07,2023-04-10,高繁感染,A阳（双缺）
bDoAAEqajO/M567U,,,种猪场,2022-08-30,2022-09-26,高繁感染,B阳
e03d3f1b-010a-1000-e004-192cc0a802deCCE7AED4,,,种猪场,2022-09-05,2022-10-25,高繁感染,B阳
2YpNIUMZSQWkRcBbtDgd5MznrtQ=,,,种猪场,2022-12-16,2023-01-07,高繁感染,B阳
bDoAACv/PPDM567U,,,种猪场,2023-07-22,2023-08-11,高繁感染,B阳
bDoAAHYiPHfM567U,,,种猪场,2023-07-24,2023-09-06,高繁感染,B阳
bDoAAEOnNvDM567U,,,种猪场,2023-09-25,2023-12-19,高繁感染,ABE型
bDoAAF5Fd63M567U,,,种猪场,2022-02-22,2022-05-18,高繁感染,D阳
bDoAADt50rLM567U,,,种猪场,2022-04-15,2022-05-29,高繁感染,B阳
bDoAACvL0HPM567U,,,种猪场,2022-12-20,2023-01-18,高繁感染,B阳
bDoAAKH91k7M567U,,,种猪场,2023-01-25,2023-02-27,高繁感染,A阳（双缺）
bDoAACjcPZbM567U,,,种猪场,2022-12-12,2023-02-28,高繁感染,B阳
O+UsaQEVEADgANaoCgsCAsznrtQ=,,,种猪场,2023-02-25,2023-03-18,高繁感染,A阳（单缺）
bDoAAAlC9N/M567U,,,种猪场,2023-06-03,2023-06-26,高繁感染,B阳
z1PZLAEdEADgAknNCgsFAsznrtQ=,,,种猪场,2023-07-11,2023-07-30,高繁感染,B阳
bDoAALYiuxTM567U,,,种猪场,2023-11-02,2023-11-25,高繁感染,B阳
bDoAADqYadDM567U,,,种猪场,2023-11-15,2023-12-17,高繁感染,A阳（双缺）
bDoAAEqai3jM567U,,,种猪场,2023-12-07,2024-01-09,高繁感染,ABE型
e03d3f1b-010a-1000-e00a-5dc7c0a802deCCE7AED4,,,种猪场,2024-04-28,2024-05-19,高繁感染,A阳（双缺）
bDoAADbXPyfM567U,,,种猪场,2024-08-16,2024-09-12,高繁感染,ABE型
e03d3f1b-010a-1000-e004-192cc0a802deCCE7AED4,,,种猪场,2022-04-22,2022-05-19,高繁感染,"B阳,D阳+B阳"
bDoAABWr3ivM567U,,,种猪场,2023-01-20,2023-02-18,高繁感染,B阳
X6Ka4wEUEADgEK17CgsFAsznrtQ=,,,种猪场,2023-02-13,2023-03-06,高繁感染,A阳（单缺）
dd2UbgETEADgAqHafwAAAcznrtQ=,,,种猪场,2023-07-18,2023-08-05,高繁感染,B阳
